W_S,W_S_max,AR,t_c,sweep25,M,lambda,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,Cdw,E_crociera,T,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,maintenance_cost,DOC,PREE
600,641.2318448,9,0.1,25,0.8,0.27,83754.81214,139.5704048,35.44197572,7.012828897,25.12267286,34.89260119,0.501463086,0.034036403,0.021703141,0.010012617,0.002320644,14.73313987,25577.37072,43662.65244,8503.50098,8211.217291,1473.89177,3380.094208,5366.593573,706.3384978,1474.681702,1372.570512,81.77308817,584.8581082,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19947.15971,24933.94963,17060.32016,20145,86.07614762,5113.461002,1009.15232,0.041362711,0.442803824
600,641.2318448,9,0.1,25,0.8,0.31,83879.17544,139.7770594,35.46820456,6.803069977,25.15987069,34.94426485,0.501463086,0.034011594,0.02170358,0.00998737,0.002320644,14.74388669,25581.20167,43767.73952,8597.327262,8211.217291,1476.074085,3385.550663,5367.435995,706.8382156,1476.834963,1372.570512,81.89416532,584.8636631,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,19966.43592,24958.0449,17076.95328,20145,86.21340864,5116.326241,1010.445004,0.041390801,0.442372528
600,612.7312104,9,0.1,30,0.82,0.27,84592.17528,140.9602857,35.61800909,7.04310673,25.37285143,35.24007143,0.477299784,0.03278632,0.021643099,0.009492863,0.001650358,14.55789423,26525.62296,44455.78565,8991.899664,8211.217291,1488.569195,3416.792287,5575.351413,741.2184395,1489.163728,1372.570512,82.58740736,586.233074,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,19991.38963,24989.23704,17079.10795,20145,88.56591723,5206.434519,1030.897268,0.041156922,0.44231672
600,612.7312104,9,0.1,30,0.82,0.31,84755.63453,141.2316275,35.65227409,6.833764336,25.42169295,35.30790688,0.477299784,0.032766102,0.021646818,0.009468926,0.001650358,14.56687709,26576.68352,44589.45574,9100.543468,8211.217291,1491.434619,3423.956737,5586.605857,741.9001123,1491.991005,1372.570512,82.74638416,586.3071118,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,20021.17879,25026.47349,17104.68668,20145,88.75969337,5210.763972,1032.785301,0.041197948,0.441655269
600,641.2318448,8,0.1,25,0.76,0.27,83441.86846,139.0289185,33.35013265,7.485202933,25.02520533,34.75722962,0.555637768,0.036346629,0.022037672,0.013798869,0.000510088,15.2871886,27120.92558,43275.71113,7825.58782,8211.217291,1468.173565,3365.79695,5706.648632,666.4307305,1469.039622,1372.570512,81.45583606,587.0962628,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20021.15733,25026.44667,17164.38535,20145,83.94624311,4953.039689,997.8486885,0.042221841,0.440119168
600,641.2318448,8,0.1,25,0.76,0.23,83368.14496,138.9058509,33.33536871,7.725682355,25.00305316,34.72646273,0.555637768,0.036399156,0.022035814,0.013853254,0.000510088,15.26512778,27155.37239,43199.32908,7747.738292,8211.217291,1466.873947,3362.547508,5714.251689,666.1486834,1467.757306,1372.570512,81.38373184,587.1462106,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20023.81588,25029.76985,17166.38855,20145,83.86306726,4952.838447,997.1073631,0.042215154,0.440067809
600,664.8523177,8,0.1,20,0.76,0.27,82960.85556,138.2309015,33.25428111,7.466706459,24.88156227,34.55772537,0.555637768,0.036681775,0.02205088,0.013308631,0.001322265,15.14751582,26447.14998,42780.31503,7542.461859,8211.217291,1459.746344,3344.726339,5558.057558,642.009054,1460.724592,1372.570512,80.98828483,586.1192881,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20035.54053,25044.42566,17174.97753,20145,83.07672418,4951.428425,988.5844219,0.042144679,0.439847737
600,664.8523177,8,0.1,20,0.76,0.23,82897.37713,138.129582,33.24209163,7.707097665,24.86332476,34.53239551,0.555637768,0.036730698,0.022047349,0.013361084,0.001322265,15.12734024,26483.57992,42712.68166,7471.832861,8211.217291,1458.67639,3342.051131,5566.085577,641.7840761,1459.668882,1372.570512,80.92892264,586.1721116,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20039.69547,25049.61933,17178.28999,20145,83.0052405,4951.444028,987.9580484,0.042140345,0.439762922
600,641.2318448,8,0.1,25,0.76,0.31,83548.31965,139.2275305,33.37394558,7.261102356,25.06095549,34.80688262,0.555637768,0.036316055,0.022038095,0.013767871,0.000510088,15.30005876,27125.58052,43365.45419,7904.314525,8211.217291,1470.270948,3371.041047,5707.676029,666.8856363,1471.109083,1372.570512,81.57220111,587.1030124,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20037.86546,25047.33183,17178.87084,20145,84.06042506,4955.405388,998.942262,0.042246385,0.439748053
600,664.8523177,8,0.1,20,0.76,0.31,83046.8826,138.3735443,33.27143451,7.241924269,24.90723797,34.59338607,0.555637768,0.036655558,0.022054559,0.013278735,0.001322265,15.15834956,26442.40133,42855.78319,7611.824225,8211.217291,1461.252681,3348.492638,5557.011155,642.3256438,1462.210875,1372.570512,81.07185801,586.1124026,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20046.09942,25057.62427,17184.16297,20145,83.16974744,4953.040197,989.4624437,0.042162344,0.439612625
600,664.8523177,9,0.12,20,0.76,0.27,82712.46618,137.8186348,35.21885451,6.974460453,24.80735426,34.45465869,0.555637768,0.037204324,0.022107792,0.011856134,0.003240399,14.93476301,24832.66099,42391.17121,7494.296695,8211.217291,1455.392724,3333.840975,5202.982967,678.2221956,1456.428931,1372.570512,80.74674134,583.7782791,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20176.29497,25220.36871,17293.01522,20145,81.97991914,4964.037567,975.7427554,0.042143029,0.436845449
600,664.8523177,9,0.12,20,0.76,0.23,82648.42301,137.7141012,35.20549546,7.198900531,24.78853821,34.4285253,0.555637768,0.037252508,0.022103521,0.011908587,0.003240399,14.9154461,24869.44504,42323.98727,7424.245484,8211.217291,1454.288828,3331.080903,5211.057253,677.976253,1455.339731,1372.570512,80.68549603,583.831616,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20179.43573,25224.29467,17295.47206,20145,81.90945853,4963.947223,975.1286057,0.042138031,0.436783395
