W/S,W/S max,check W/S max,AR,t/c,sweep25,M,lambda,WTO,CL_crociera,CD,E,T,S,b,check b,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_payload
550,700.8505081,VERO,11,0.1,25,0.8,0.31,83441.4182,0.455463518,0.027072653,16.823749,22163.30243,151.6858845,40.84782404,FALSO,45197.8716,10660.53858,8211.217291,1676.337585,3366.231967,4297.026583,809.0050568,1629.032164,1372.570512,88.87144252,579.9077092,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18098.5466,22623.18325,20145
550,700.8505081,VERO,11,0.1,25,0.8,0.27,83258.32327,0.455463518,0.027109313,16.80099842,22145.31762,151.3540454,40.80311874,FALSO,45037.38943,10519.90637,8211.217291,1672.670306,3358.20033,4293.461631,808.1585904,1625.513029,1372.570512,88.67702088,579.8816312,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18075.93384,22594.9173,20145
550,700.8505081,VERO,11,0.1,25,0.8,0.23,83085.73648,0.455463518,0.027162761,16.76793919,22150.9487,151.0412343,40.76093199,FALSO,44877.46228,10374.1824,8211.217291,1669.213314,3350.629238,4294.577816,807.3597739,1622.195684,1372.570512,88.49374757,579.8897963,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18063.2742,22579.09274,20145
550,633.4527129,VERO,10,0.12,35,0.82,0.31,83737.14437,0.433516733,0.027193146,15.94213226,24201.54053,152.224422,39.01594828,FALSO,45034.16436,10027.38533,8211.217291,1682.289165,3379.266417,4701.594444,852.8651203,1634.743325,1372.570512,89.18696698,582.8631544,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18557.98,23197.47501,20145
550,669.7000213,VERO,11,0.1,30,0.76,0.31,83624.03461,0.504668718,0.027197816,18.55548708,22628.35491,152.0151314,40.89213182,FALSO,45961.79534,11264.90778,8211.217291,1679.976216,3374.200868,4389.239178,845.8193992,1632.52381,1372.570512,89.06434543,580.5820353,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17517.23928,21896.5491,20145
550,633.4527129,VERO,10,0.12,35,0.82,0.27,83581.20526,0.433516733,0.027227989,15.92173179,24189.83071,151.9417825,38.97971043,FALSO,44896.13972,9905.58965,8211.217291,1679.16561,3372.425575,4699.267129,852.1078214,1631.745949,1372.570512,89.02137097,582.8461752,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18540.06554,23175.08193,20145
550,669.7000213,VERO,11,0.1,30,0.76,0.27,83421.16575,0.504668718,0.027242011,18.52538391,22605.7737,151.6475546,40.84266276,FALSO,45781.69545,11107.37002,8211.217291,1675.913987,3365.304255,4384.760358,844.841169,1628.625679,1372.570512,88.84898541,580.5492925,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17494.4703,21868.08787,20145
550,700.8505081,VERO,11,0.1,25,0.76,0.31,82321.09625,0.504668718,0.027259257,18.51366402,21885.16085,149.6529167,40.57316951,FALSO,44904.19138,10507.44754,8211.217291,1653.870496,3317.027258,4241.902973,803.8040027,1607.472653,1372.570512,87.68034437,579.5044039,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17271.90487,21589.88108,20145
550,633.4527129,VERO,10,0.12,35,0.82,0.23,83438.45326,0.433516733,0.027279623,15.89159569,24205.06667,151.6830034,38.94650221,FALSO,44760.49819,9779.61106,8211.217291,1676.305745,3366.162236,4702.295267,851.4138084,1629.001611,1372.570512,88.86975453,582.8682673,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18532.95506,23166.19383,20145
550,700.8505081,VERO,11,0.1,25,0.76,0.27,82134.47535,0.504668718,0.027302383,18.48442033,21862.87355,149.291392,40.52413247,FALSO,44740.48522,10365.9098,8211.217291,1649.875151,3308.277146,4237.486852,802.8752397,1603.638703,1372.570512,87.4685302,579.4720873,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17248.99013,21561.23766,20145
550,669.7000213,VERO,11,0.1,30,0.76,0.23,83230.9955,0.504668718,0.027307432,18.48100245,22608.37046,151.3025742,40.79618016,FALSO,45602.4036,10944.50141,8211.217291,1672.101479,3356.954552,4385.2754,843.9219476,1624.96718,1372.570512,88.64686436,580.5530578,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17483.5919,21854.48988,20145
550,700.8505081,VERO,11,0.1,25,0.76,0.23,81971.82417,0.504668718,0.027363858,18.44289319,21870.3126,148.996434,40.4840805,FALSO,44585.16173,10223.55964,8211.217291,1646.615459,3301.138172,4238.960849,802.1166175,1600.510689,1372.570512,87.29571684,579.4828739,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17241.66244,21552.07805,20145
550,633.4527129,VERO,10,0.12,35,0.8,0.31,83264.32723,0.455463518,0.027387617,16.63027208,24073.33868,151.3663868,38.90583334,FALSO,44913.13253,9967.220685,8211.217291,1672.806696,3358.499034,4676.116337,850.5638412,1625.643909,1372.570512,88.6842516,582.6772618,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18206.1947,22757.74338,20145
550,633.4527129,VERO,10,0.12,35,0.8,0.27,83111.55558,0.455463518,0.027424563,16.60786806,24062.31481,151.0894491,38.87022627,FALSO,44776.62296,9846.524481,8211.217291,1669.746153,3351.796199,4673.92571,849.819632,1622.707,1372.570512,88.52199619,582.6612771,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18189.93262,22737.41577,20145
550,633.4527129,VERO,11,0.1,35,0.76,0.31,85757.77564,0.504668718,0.027425145,18.40167943,23724.2134,155.8806944,41.40878696,FALSO,47546.58568,12394.07115,8211.217291,1722.696002,3467.76089,4606.754266,902.8035953,1673.517894,1372.570512,91.32914521,582.1710301,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18066.18997,22582.73746,20145
550,633.4527129,VERO,11,0.1,35,0.76,0.27,85511.19889,0.504668718,0.027473352,18.36938978,23691.42409,155.4344456,41.34947281,FALSO,47329.85978,12205.86824,8211.217291,1717.76434,3456.960107,4600.24148,901.567276,1668.785451,1372.570512,91.06769196,582.1234856,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18036.33911,22545.42389,20145
550,633.4527129,VERO,10,0.12,35,0.8,0.23,82972.86265,0.455463518,0.027479863,16.57444632,24078.3545,150.8379818,38.83786578,FALSO,44642.73796,9721.784785,8211.217291,1666.967095,3345.709839,4677.113076,849.1432522,1620.040204,1372.570512,88.37466374,582.6845347,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18185.12469,22731.40586,20145
600,633.4527129,VERO,11,0.1,35,0.82,0.31,83683.55957,0.472927345,0.02750447,17.19456327,23712.24494,139.4456909,39.16506862,FALSO,45941.0667,11315.79095,8211.217291,1541.066616,3376.801297,4604.376996,855.9811136,1499.225582,1372.570512,81.70001942,582.1536758,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17597.49288,21996.8661,20145
