W_S,S,S_wet,S_vert,S_orizz,b,lambda,c_root,c_tip,MAC,AR,t_c,sweep25,V_fuel,M,W_fuel,W_block_fuel,E_crociera,CD,Cd0,Cdi,Cdw,CL_crociera,CL_max,T,T_W,WTO,OEW,W_wing,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,ADP,flight_cost,maintenance_cost,DOC,PREE
600,142.9922128,292.991044,25.7385983,35.7480532,35.87380542,0.23,7.317589443,1.683045572,5.088203521,9,0.1,25,25473.96284,0.8,20379.17027,17430.63,14.79170931,0.033901632,0.021524073,0.010056914,0.002320644,0.501463086,2.485186583,26236.96733,0.305808813,85809.1102,44149.93993,8672.304479,1510.026757,3470.442894,5511.75349,714.5637536,1510.335628,86.95228674,5204.360912,1055.447126,0.042289561,0.457814888
600,143.1773488,293.3703877,25.77192279,35.7943372,35.89702131,0.27,7.091108869,1.914599395,4.998766457,9,0.1,25,25483.18918,0.8,20386.55134,17437.21,14.81129478,0.033856803,0.021523541,0.010012617,0.002320644,0.501463086,2.485186583,26210.28833,0.305102827,85920.52729,44253.97594,8772.93203,1511.98183,3475.331195,5505.877664,715.0058335,1512.264674,87.07656562,5205.879544,1056.547984,0.042307258,0.45764193
600,143.3929056,293.8120636,25.81072301,35.8482264,35.92403305,0.31,6.879092485,2.13251867,4.922489538,9,0.1,25,25508.39747,0.8,20406.71797,17454.61,14.82214609,0.033832016,0.021524002,0.00998737,0.002320644,0.501463086,2.485186583,26214.82186,0.304696872,86050.27493,44363.55695,8870.653514,1514.258154,3481.022722,5506.87611,715.5201782,1514.510693,87.2195442,5208.868027,1057.899563,0.042336578,0.45718568
550,156.0477452,319.7418299,28.08859414,39.0119363,35.33244913,0.23,8.124120206,1.868547647,5.649015616,8,0.1,20,25523.53175,0.76,20418.8254,17507.79,15.47929446,0.032904253,0.020653127,0.011227022,0.001024104,0.509334621,2.576731135,26497.46136,0.30873373,85838.25411,44139.42871,8340.800421,1647.895826,3471.804108,5569.144796,680.3133286,1646.369264,84.79785731,5038.420004,1041.993882,0.043140831,0.455797203
550,156.9947661,321.6822758,28.2590579,39.24869153,35.43949956,0.23,8.145504748,1.873466092,5.663885117,8,0.1,25,25522.7642,0.76,20418.21136,17509.01,15.61355371,0.032621313,0.020627117,0.011640582,0.000353615,0.509334621,2.485186583,27152.91288,0.314462283,86361.9096,44663.69824,8650.233117,1657.896558,3494.725353,5713.708809,706.2913205,1656.236859,85.69308381,5041.662497,1052.017578,0.043234955,0.455765229
550,156.1962844,320.0461868,28.1153312,39.04907111,35.34926131,0.27,7.871494888,2.12530362,5.548887394,8,0.1,20,25526.01204,0.76,20420.80963,17509.73,15.49808046,0.032864368,0.020657318,0.011182947,0.001024104,0.509334621,2.576731135,26469.61102,0.308115943,85921.30185,44220.49221,8420.933927,1649.46443,3475.39928,5563.007185,680.6227944,1647.916986,84.88880731,5039.143755,1042.794845,0.043151649,0.455746554
550,157.1648288,322.0307342,28.28966919,39.2912072,35.45868907,0.27,7.892666268,2.131019892,5.563811827,8,0.1,25,25526.7834,0.76,20421.42672,17512.04,15.63409321,0.032578456,0.020629959,0.011594883,0.000353615,0.509334621,2.485186583,27126.74624,0.313819301,86455.50074,44754.07402,8738.273084,1659.692455,3498.841473,5707.933318,706.6569262,1658.008847,85.79617166,5042.5767,1052.938757,0.043247977,0.455686436
550,156.3820449,320.4268101,28.14876809,39.09551123,35.37027508,0.31,7.635085173,2.366876404,5.463457131,8,0.1,20,25544.93234,0.76,20435.94587,17522.84,15.50793415,0.032843486,0.020661557,0.011157826,0.001024104,0.509334621,2.576731135,26470.65579,0.307762091,86023.78245,44307.83658,8499.157624,1651.426099,3479.895338,5563.237424,681.0095907,1649.852539,84.99825678,5041.315194,1043.838454,0.04317446,0.45540566
550,157.3688787,322.4488325,28.32639817,39.34221968,35.48169993,0.31,7.655985197,2.373355411,5.478412614,8,0.1,25,25547.31603,0.76,20437.85282,17526.27,15.64505987,0.03255562,0.020633169,0.011568836,0.000353615,0.509334621,2.485186583,27130.06659,0.313450755,86568.09984,44850.24702,8823.930803,1661.847264,3503.780204,5708.666166,707.0953262,1660.134969,85.91721938,5044.940796,1054.098307,0.043272978,0.45531644
600,142.6489846,292.2877695,25.67681723,35.66224616,33.7815316,0.27,7.568479731,2.043489527,5.335281591,8,0.1,25,25586.85562,0.76,20469.48449,17549.74,15.36456766,0.03616358,0.021854623,0.013798869,0.000510088,0.555637768,2.485186583,27798.51509,0.324789262,85602.32694,43852.84245,8070.176454,1506.402198,3461.380356,5856.31717,674.669671,1506.759322,84.91515412,5042.033,1046.079267,0.043195451,0.454707694
600,142.5200301,292.0235416,25.65360541,35.63000752,33.76625891,0.23,7.811564209,1.796659768,5.431683319,8,0.1,25,25589.90181,0.76,20471.92145,17551.54,15.34227471,0.036216127,0.021852784,0.013853254,0.000510088,0.555637768,2.485186583,27833.36629,0.325490696,85524.96095,43773.0395,7989.096056,1505.040411,3457.975463,5864.021575,674.3780696,1505.415665,84.82791911,5041.789891,1045.327266,0.043188391,0.454661006
600,141.6686472,290.2790581,25.5003565,35.4171618,33.66525178,0.23,7.791427775,1.792028388,5.417681676,8,0.1,20,25602.00709,0.76,20481.60567,17558.05,15.20227107,0.036549655,0.021866307,0.013361084,0.001322265,0.555637768,2.576731135,27134.30393,0.319222642,85023.46328,43261.85761,7698.974346,1496.049636,3435.495713,5709.601411,649.5921182,1496.544582,83.93376675,5039.593257,1035.231046,0.043101173,0.454492386
600,141.8169922,290.583017,25.5270586,35.45424805,33.68287306,0.27,7.549430562,2.038346252,5.321853176,8,0.1,20,25603.5374,0.76,20482.82992,17559.37,15.22355225,0.036498562,0.021867667,0.013308631,0.001322265,0.555637768,2.576731135,27104.86548,0.318542758,85101.86297,43339.03304,7775.248716,1497.616189,3439.412584,5703.104078,649.9171674,1498.09028,84.01973974,5040.216281,1035.982271,0.043110923,0.454458214
600,142.8136468,292.6251623,25.70645642,35.7034117,33.80102327,0.31,7.34102997,2.275719291,5.253039308,8,0.1,25,25602.2033,0.76,20481.76264,17560.42,15.37664971,0.036135165,0.021857205,0.013767871,0.000510088,0.555637768,2.485186583,27796.17084,0.324387427,85701.42587,43939.66323,8149.247933,1508.141064,3465.728068,5855.798959,675.0418171,1508.475039,85.02287407,5043.89566,1047.099621,0.043215906,0.454431076
600,141.96663,290.8896248,25.55399339,35.49165749,33.70063856,0.31,7.322238878,2.269894052,5.239592919,8,0.1,20,25617.54897,0.76,20494.03918,17569.12,15.23450918,0.036472312,0.021871312,0.013278735,0.001322265,0.555637768,2.576731135,27100.57923,0.318156683,85191.89956,43417.86038,7847.522493,1499.196394,3443.36359,5702.158102,650.2448695,1499.649448,84.11694793,5041.914812,1036.897698,0.043129469,0.454206037
600,141.3485418,291.0931871,25.44273753,35.33713546,35.66702786,0.27,7.051539025,1.903915537,4.970872313,9,0.12,20,25777.11523,0.76,20621.69218,17675.68,15.00799366,0.037022788,0.021926255,0.011856134,0.003240399,0.555637768,2.576731135,25440.88859,0.299978199,84833.01013,42931.31795,7722.381753,1492.669258,3427.043717,5336.586426,686.470784,1493.209207,82.89004065,5052.509902,1021.39812,0.043094671,0.451467817
